,Energy,Corr,Diss_sim,Homogen,Contrast,Energy2,Corr2,Diss_sim2,Homogen2,Contrast2,Energy3,Corr3,Diss_sim3,Homogen3,Contrast3,Energy4,Corr4,Diss_sim4,Homogen4,Contrast4,Energy5,Corr5,Diss_sim5,Homogen5,Contrast5
0,0.15804091586975538,0.9928105276382505,2.1718850096092246,0.6046068277952339,51.528307174887885,0.14648151870760537,0.9609349507087726,6.21866919844861,0.41131644648807497,277.34387120232714,0.13724115420944047,0.9210132883432443,9.731939008480104,0.3352255833349221,555.6398401826484,0.1758899289737766,1.0000000000000002,0.0,0.9999999999999999,0.0,0.1758899289737766,1.0000000000000002,0.0,0.9999999999999999,0.0
0,0.15804091586975538,0.9928105276382505,2.1718850096092246,0.6046068277952339,51.528307174887885,0.14648151870760537,0.9609349507087726,6.21866919844861,0.41131644648807497,277.34387120232714,0.13724115420944047,0.9210132883432443,9.731939008480104,0.3352255833349221,555.6398401826484,0.1758899289737766,1.0000000000000002,0.0,0.9999999999999999,0.0,0.1758899289737766,1.0000000000000002,0.0,0.9999999999999999,0.0
0,0.17795087221182682,0.9885591327871587,2.721953074951954,0.5832075583629308,88.1431974695708,0.16527937091940753,0.9432052088935599,7.781815610859728,0.394294064378154,433.0039794764059,0.15445845756746077,0.8905202528961519,11.996167645140247,0.3172462387774169,826.1363747553814,0.19528360365165717,1.0,0.0,0.9999999999999999,0.0,0.19528360365165717,1.0,0.0,0.9999999999999999,0.0
0,0.17795087221182682,0.9885591327871587,2.721953074951954,0.5832075583629308,88.1431974695708,0.16527937091940753,0.9432052088935599,7.781815610859728,0.394294064378154,433.0039794764059,0.15445845756746077,0.8905202528961519,11.996167645140247,0.3172462387774169,826.1363747553814,0.19528360365165717,1.0,0.0,0.9999999999999999,0.0,0.19528360365165717,1.0,0.0,0.9999999999999999,0.0
0,0.17597642070858888,0.9892239144249168,2.6601137091607945,0.5564542204616931,88.2489590006406,0.1644300254555433,0.9487883061401312,7.598295087265676,0.359140488074615,415.0961942469295,0.15436713454006798,0.9018676972347206,11.755096216568818,0.2887773695260859,787.3220401174168,0.19144790017664667,1.0000000000000002,0.0,1.0,0.0,0.19144790017664667,1.0000000000000002,0.0,1.0,0.0
0,0.17597642298599117,0.9892239025823565,2.6601137091607945,0.5564549041068637,88.2490791159513,0.16443022894966838,0.9487882646825718,7.598295087265676,0.3591465277037605,415.09663865546213,0.15436712915624345,0.9018676211214952,11.755136986301368,0.2887771231571442,787.3228555120678,0.19144804748097258,0.9999999999999998,0.0,1.0,0.0,0.19144804748097258,0.9999999999999998,0.0,1.0,0.0
0,0.16776753164564465,0.9910680057632162,2.419762972453555,0.567309413360844,71.11382927610505,0.15666680602276706,0.9556953243089943,6.924551551389787,0.36513599409783687,349.2849264705882,0.14721009336820617,0.9136655208897025,10.793909001956946,0.2917062354903376,674.068126223092,0.18358297778776234,0.9999999999999999,0.0,0.9999999999999999,0.0,0.18358297778776234,0.9999999999999999,0.0,0.9999999999999999,0.0
0,0.16776808824349282,0.9910679940050111,2.4197629724535554,0.5673191940600866,71.11402946828954,0.15666688155639064,0.9556952069148681,6.924591952165481,0.36513194040324914,349.28638089851324,0.1472101046593547,0.9136653345422566,10.793949771689496,0.29170215574577824,674.0706131767776,0.18358278739150194,1.0,0.0,0.9999999999999999,0.0,0.18358278739150194,1.0,0.0,0.9999999999999999,0.0
0,0.17671058131949752,0.987288337246727,2.9032871556694433,0.5485027137006853,105.46951073030107,0.16419919774018393,0.9402176945849359,8.287209114414997,0.3505467686871093,490.2136797026502,0.15312309101513075,0.8871119641913061,12.754240052185256,0.28010497361516074,914.8608936725375,0.19257118461532644,1.0000000000000002,0.0,0.9999999999999999,0.0,0.19257118461532644,1.0000000000000002,0.0,0.9999999999999999,0.0
0,0.17671068337679643,0.9872883133666964,2.9032871556694433,0.5485078951454604,105.46959080717488,0.16419912567151876,0.9402175679162735,8.287168713639304,0.35056612651276453,490.21416451195864,0.15312311815295387,0.8871116391675926,12.754199282452706,0.28011178471197423,914.8624836921069,0.19257121555443873,1.0,0.0,0.9999999999999999,0.0,0.19257121555443873,1.0,0.0,0.9999999999999999,0.0
0,0.16531339440380063,0.992247611108888,2.2642737027546445,0.6023342247587127,56.8580437219731,0.15367586284414875,0.9585658203281854,6.486849547511312,0.41194130874968754,301.10259776987715,0.14416210578305452,0.9166995014336452,10.134254729288974,0.3353191507910295,599.9425962165687,0.18269289021959978,1.0,0.0,1.0,0.0,0.18269289021959978,1.0,0.0,1.0,0.0
0,0.16531339440380063,0.992247611108888,2.2642737027546445,0.6023342247587127,56.8580437219731,0.15367586284414875,0.9585658203281854,6.486849547511312,0.41194130874968754,301.10259776987715,0.14416210578305452,0.9166995014336452,10.134254729288974,0.3353191507910295,599.9425962165687,0.18269289021959978,1.0,0.0,1.0,0.0,0.18269289021959978,1.0,0.0,1.0,0.0
0,0.10592589402891858,0.9934269331179018,1.9034272901985905,0.5905924115989931,41.785834401024985,0.09405850262688767,0.9644816158019447,5.373848577892695,0.3665580083022279,222.71947721396253,0.08595294758528317,0.9299792249992906,8.365113339856489,0.2792220044650881,433.5308015329419,0.12902416671112338,1.0,0.0,0.9999999999999999,0.0,0.12902416671112338,1.0,0.0,0.9999999999999999,0.0
